,percentage_needing_charged,percent_full
0,0.31763157894736843,0.6823684210526315
1,0.06247368421052631,0.9375263157894737
2,0.19996842105263157,0.8000315789473684
3,0.40823157894736845,0.5917684210526315
4,0.48782105263157893,0.5121789473684211
5,0.6033473684210526,0.39665263157894737
6,0.4809894736842105,0.5190105263157895
7,0.17906315789473684,0.8209368421052632
8,0.5053263157894737,0.49467368421052627
9,0.0020421052631578946,0.9979578947368422
10,0.44057894736842107,0.5594210526315789
11,0.004115789473684211,0.9958842105263158
12,0.5463052631578947,0.45369473684210526
13,0.32363157894736844,0.6763684210526315
14,0.01725263157894737,0.9827473684210526
15,0.28813684210526314,0.7118631578947369
16,0.43222105263157895,0.567778947368421
17,0.39402105263157894,0.6059789473684211
18,0.3466315789473684,0.6533684210526316
19,0.6827157894736842,0.31728421052631584
20,0.1529157894736842,0.8470842105263158
21,0.5951052631578947,0.4048947368421053
22,0.015863157894736843,0.9841368421052632
23,0.11703157894736842,0.8829684210526316
24,0.7048947368421052,0.29510526315789476
25,0.4122315789473684,0.5877684210526316
26,0.0668842105263158,0.9331157894736842
27,0.5941473684210526,0.40585263157894735
28,0.18197894736842105,0.818021052631579
29,0.20005263157894737,0.7999473684210526
30,0.3143157894736842,0.6856842105263158
31,0.40053684210526314,0.5994631578947369
32,0.052421052631578945,0.9475789473684211
33,0.1069578947368421,0.8930421052631579
34,0.15883157894736843,0.8411684210526316
35,0.3526315789473684,0.6473684210526316
36,0.5200210526315789,0.47997894736842106
37,0.007673684210526316,0.9923263157894737
38,0.2094842105263158,0.7905157894736842
39,0.4473473684210526,0.5526526315789474
40,0.13657894736842105,0.863421052631579
41,0.08806315789473684,0.9119368421052632
42,0.42243157894736844,0.5775684210526315
43,0.00047368421052631577,0.9995263157894737
44,0.0009894736842105264,0.9990105263157895
45,0.0020210526315789473,0.9979789473684211
46,0.2521578947368421,0.7478421052631579
47,0.07331578947368421,0.9266842105263158
48,0.6746631578947369,0.32533684210526315
49,0.595978947368421,0.40402105263157895
50,0.12134736842105263,0.8786526315789474
51,0.578,0.42200000000000004
52,0.0948,0.9052
53,0.09131578947368421,0.9086842105263158
54,0.29986315789473683,0.7001368421052632
55,0.46646315789473686,0.5335368421052631
56,0.0036,0.9964
57,0.21556842105263158,0.7844315789473684
58,0.29662105263157895,0.7033789473684211
59,0.15168421052631578,0.8483157894736842
60,0.3520526315789474,0.6479473684210526
61,0.14449473684210526,0.8555052631578948
62,0.3951789473684211,0.6048210526315789
63,0.24761052631578948,0.7523894736842105
64,0.005978947368421052,0.9940210526315789
65,0.33883157894736843,0.6611684210526316
66,0.19235789473684212,0.8076421052631579
67,0.0035894736842105265,0.9964105263157895
68,0.09634736842105263,0.9036526315789474
69,0.0033578947368421053,0.9966421052631579
70,0.003,0.997
71,0.0642,0.9358
72,0.02531578947368421,0.9746842105263158
73,0.03150526315789474,0.9684947368421053
74,0.014515789473684211,0.9854842105263157
75,0.066,0.9339999999999999
76,0.0026842105263157894,0.9973157894736842
77,0.0020631578947368423,0.9979368421052631
78,0.08081052631578947,0.9191894736842106
79,0.030705263157894735,0.9692947368421052
80,0.09235789473684211,0.9076421052631579
